User ID Date Description Credit (Rs.) Debit (Rs.) Balance (Rs.)
"IN04 0001 2345 6789 03/01/2024 Uber Ride 461.64 44,738.36"
"IN04 0001 2345 6789 12/04/2024 Prime Video 1,113.58 3,411.80"
"IN04 0001 2345 6789 13/04/2024 Refund - Flipkart 4,904.57 8,316.37"
"IN04 0001 2345 6789 13/04/2024 Salary Credit 73,019.66 81,336.03"
"IN04 0001 2345 6789 13/04/2024 NEFT Inward 26,587.39 107,923.42"
"IN04 0001 2345 6789 14/04/2024 Internet Bill 990.47 106,932.95"
"IN04 0001 2345 6789 14/04/2024 Gym Membership 6,614.32 100,318.63"
"IN04 0001 2345 6789 14/04/2024 FD Opening 17,206.28 83,112.35"
"IN04 0001 2345 6789 15/04/2024 Gym Membership 5,120.20 77,992.15"
"IN04 0001 2345 6789 15/04/2024 Mall Shopping 486.87 77,505.28"
"IN04 0001 2345 6789 15/04/2024 Salary Credit 79,993.09 157,498.37"
"IN04 0001 2345 6789 16/04/2024 Ola Ride 2,354.64 155,143.73"
"IN04 0001 2345 6789 16/04/2024 ATM Withdrawal 15,207.55 139,936.18"
"IN04 0001 2345 6789 17/04/2024 Ola Ride 1,882.94 138,053.24"
"IN04 0001 2345 6789 18/04/2024 Internet Bill 3,380.35 134,672.89"
"IN04 0001 2345 6789 19/04/2024 FD Opening 38,461.46 96,211.43"
"IN04 0001 2345 6789 20/04/2024 NEFT Inward 38,556.64 57,654.79"
"IN04 0001 2345 6789 21/04/2024 Pharmacy Purchase 11,615.83 46,038.96"
"IN04 0001 2345 6789 22/04/2024 UPI Received 15,986.85 30,052.11"
"IN04 0001 2345 6789 22/04/2024 Meesho 10,421.09 19,631.02"
"IN04 0001 2345 6789 23/04/2024 Myntra Order 12,784.34 6,846.68"
"IN04 0001 2345 6789 26/04/2024 Bonus Credit 54,614.10 61,460.78"
"IN04 0001 2345 6789 26/04/2024 Meesho 9,783.64 51,677.14"
"IN04 0001 2345 6789 28/04/2024 Term Plan 2,030.31 49,646.83"
"IN04 0001 2345 6789 28/04/2024 Prime Video 1,089.94 48,556.89"
"IN04 0001 2345 6789 28/04/2024 Hotel Booking 22,093.72 26,463.17"
"IN04 0001 2345 6789 29/04/2024 NEFT Inward 1,490.05 24,973.12"
"IN04 0001 2345 6789 29/04/2024 IMPS Transfer 13,027.72 38,000.84"
"IN04 0001 2345 6789 01/05/2024 GST Refund 1,257.12 39,257.96"
"IN04 0001 2345 6789 01/05/2024 PPF Contribution 30,711.42 8,546.54"
"IN04 0001 2345 6789 02/05/2024 Netflix Subscription 791.52 7,755.02"
"IN04 0001 2345 6789 02/05/2024 Spotify Premium 782.06 6,972.96"
"IN04 0001 2345 6789 02/05/2024 BookMyShow 575.81 6,397.15"
"IN04 0001 2345 6789 03/05/2024 Salary Credit 43,747.04 50,144.19"
"IN04 0001 2345 6789 03/05/2024 Ola Ride 762.00 49,382.19"
"IN04 0001 2345 6789 04/05/2024 PPF Contribution 38,029.15 11,353.04"
"IN04 0001 2345 6789 04/05/2024 Broadband Bill 1,003.91 10,349.13"
"IN04 0001 2345 6789 04/05/2024 RD Installment 545.14 9,803.99"
"IN04 0001 2345 6789 05/05/2024 Hotel Booking 610.70 9,193.29"
"IN04 0001 2345 6789 06/05/2024 Dividend Credit 30,781.80 39,975.09"
"IN04 0001 2345 6789 06/05/2024 Postpaid Bill 562.44 39,412.65"
"IN04 0001 2345 6789 06/05/2024 Broadband Bill 478.55 38,934.10"
"IN04 0001 2345 6789 07/05/2024 Ola Ride 2,177.79 36,756.31"
"IN04 0001 2345 6789 07/05/2024 Netflix Subscription 1,139.78 35,616.53"
"IN04 0001 2345 6789 08/05/2024 Uber Ride 2,228.88 33,387.65"
"IN04 0001 2345 6789 09/05/2024 Postpaid Bill 1,467.23 31,920.42"
"IN04 0001 2345 6789 09/05/2024 Dividend Credit 26,224.90 58,145.32"
"IN04 0001 2345 6789 11/05/2024 Hospital Bill 7,281.53 50,863.79"
"IN04 0001 2345 6789 12/05/2024 Cafe Coffee Day 386.33 50,477.46"
"IN04 0001 2345 6789 12/05/2024 Swiggy Order 1,419.13 49,058.33"
"IN04 0001 2345 6789 13/05/2024 Cash Deposit 2,500.46 46,557.87"
"IN04 0001 2345 6789 15/05/2024 RD Installment 22,303.21 24,254.66"
"IN04 0001 2345 6789 15/05/2024 Electricity Bill 1,337.14 22,917.52"
"IN04 0001 2345 6789 16/05/2024 Amazon Purchase 6,130.47 16,787.05"
"IN04 0001 2345 6789 16/05/2024 Meesho 9,515.80 7,271.25"
"IN04 0001 2345 6789 16/05/2024 Zomato Order 441.06 6,830.19"
"IN04 0001 2345 6789 17/05/2024 Flipkart Order 1,953.08 4,877.11"
"IN04 0001 2345 6789 17/05/2024 Loan Repayment 404.10 4,473.01"
"IN04 0001 2345 6789 18/05/2024 Credit Card Payment 406.27 4,066.74"
"IN04 0001 2345 6789 19/05/2024 Term Plan 331.33 3,735.41"
"IN04 0001 2345 6789 19/05/2024 UPI Payment 37,914.09 41,649.50"
"IN04 0001 2345 6789 20/05/2024 Pharmacy Purchase 3,225.44 38,424.06"
"IN04 0001 2345 6789 21/05/2024 Salary Credit 16,739.95 55,164.01"
"IN04 0001 2345 6789 22/05/2024 PPF Contribution 23,760.67 31,403.34"
"IN04 0001 2345 6789 22/05/2024 Zomato Order 777.21 30,626.13"
"IN04 0001 2345 6789 22/05/2024 Gym Membership 1,516.48 29,109.65"
"IN04 0001 2345 6789 23/05/2024 Cashback Credit 3,949.75 33,059.40"
"IN04 0001 2345 6789 24/05/2024 Flight Ticket - IndiGo 16,473.50 16,585.90"
"IN04 0001 2345 6789 25/05/2024 Cashback Credit 4,141.82 20,727.72"
"IN04 0001 2345 6789 28/05/2024 Loan Repayment 1,202.99 19,524.73"
"IN04 0001 2345 6789 29/05/2024 Mutual Fund SIP 1,044.01 18,480.72"
"IN04 0001 2345 6789 29/05/2024 IRCTC Ticket 1,027.86 17,452.86"
"IN04 0001 2345 6789 01/06/2024 Broadband Bill 944.80 16,508.06"
"IN04 0001 2345 6789 01/06/2024 Swiggy Order 634.00 15,874.06"
"IN04 0001 2345 6789 01/06/2024 ATM Withdrawal 931.44 14,942.62"
"IN04 0001 2345 6789 02/06/2024 UPI Payment 30,571.74 45,514.36"
"IN04 0001 2345 6789 02/06/2024 Bonus Credit 73,705.46 119,219.82"
"IN04 0001 2345 6789 03/06/2024 UPI Received 25,464.43 93,755.39"
"IN04 0001 2345 6789 05/06/2024 Prime Video 565.97 93,189.42"
"IN04 0001 2345 6789 05/06/2024 ATM Withdrawal 17,225.80 75,963.62"
"IN04 0001 2345 6789 05/06/2024 Prime Video 1,070.84 74,892.78"
"IN04 0001 2345 6789 06/06/2024 Cash Deposit 16,364.54 58,528.24"
"IN04 0001 2345 6789 06/06/2024 Salary Credit 39,111.94 97,640.18"
"IN04 0001 2345 6789 07/06/2024 Lab Test 2,406.84 95,233.34"
"IN04 0001 2345 6789 07/06/2024 Loan Repayment 26,082.41 69,150.93"
"IN04 0001 2345 6789 09/06/2024 Flight Ticket - IndiGo 5,871.20 63,279.73"
"IN04 0001 2345 6789 09/06/2024 Hotstar 1,158.78 62,120.95"
"IN04 0001 2345 6789 09/06/2024 Cash Deposit 15,319.82 46,801.13"
"IN04 0001 2345 6789 10/06/2024 Health Insurance 2,707.16 44,093.97"
"IN04 0001 2345 6789 11/06/2024 RD Installment 6,510.59 37,583.38"
"IN04 0001 2345 6789 11/06/2024 ATM Withdrawal 14,340.77 23,242.61"
"IN04 0001 2345 6789 12/06/2024 Salary Credit 46,418.86 69,661.47"
"IN04 0001 2345 6789 12/06/2024 Flipkart Order 14,885.41 54,776.06"
"IN04 0001 2345 6789 14/06/2024 Flipkart Order 7,575.96 47,200.10"
"IN04 0001 2345 6789 14/06/2024 Broadband Bill 811.93 46,388.17"
"IN04 0001 2345 6789 14/06/2024 Gym Membership 16,711.01 29,677.16"
"IN04 0001 2345 6789 15/06/2024 Metro Card Recharge 1,676.23 28,000.93"
"IN04 0001 2345 6789 15/06/2024 Hotel Booking 1,506.61 26,494.32"
"IN04 0001 2345 6789 15/06/2024 Refund - Flipkart 4,326.93 30,821.25"
"IN04 0001 2345 6789 16/06/2024 Loan Repayment 10,856.38 19,964.87"
"IN04 0001 2345 6789 16/06/2024 Credit Card Payment 8,748.01 11,216.86"
"IN04 0001 2345 6789 18/06/2024 Broadband Bill 1,272.30 9,944.56"
"IN04 0001 2345 6789 18/06/2024 UPI Received 599.25 9,345.31"
"IN04 0001 2345 6789 19/06/2024 Dividend Credit 33,290.75 42,636.06"
"IN04 0001 2345 6789 19/06/2024 Cashback Credit 4,354.53 46,990.59"
"IN04 0001 2345 6789 20/06/2024 UPI Received 9,495.79 37,494.80"
"IN04 0001 2345 6789 22/06/2024 Broadband Bill 1,087.02 36,407.78"
"IN04 0001 2345 6789 22/06/2024 Loan Repayment 12,196.28 24,211.50"
"IN04 0001 2345 6789 23/06/2024 Mutual Fund SIP 6,749.19 17,462.31"
"IN04 0001 2345 6789 24/06/2024 Insurance Premium 13,175.76 4,286.55"
"IN04 0001 2345 6789 24/06/2024 Mutual Fund SIP 311.14 3,975.41"
"IN04 0001 2345 6789 25/06/2024 Hotel Booking 2,522.40 1,453.01"
"IN04 0001 2345 6789 26/06/2024 Hotstar 1,069.48 383.53"
IN04 0001 2345 6789 26/06/2024 ATM Withdrawal 191.12 192.41
IN04 0001 2345 6789 27/06/2024 Prime Video 26.44 165.97
IN04 0001 2345 6789 27/06/2024 Flipkart Order 193.28 -27.31
IN04 0001 2345 6789 27/06/2024 Ola Ride 27.34 -54.65
IN04 0001 2345 6789 29/06/2024 Gas Bill 16.01 -70.66
IN04 0001 2345 6789 29/06/2024 EMI Debit 77.69 -148.35
IN04 0001 2345 6789 29/06/2024 Water Bill 110.11 -258.46
IN04 0001 2345 6789 30/06/2024 Water Bill 162.54 -421.00
IN04 0001 2345 6789 01/07/2024 PPF Contribution 76.57 -497.57
IN04 0001 2345 6789 02/07/2024 FD Opening 155.91 -653.48
IN04 0001 2345 6789 02/07/2024 FD Opening 7.34 -660.82
IN04 0001 2345 6789 03/07/2024 Hotstar 159.74 -820.56
IN04 0001 2345 6789 03/07/2024 Broadband Bill 26.38 -846.94
IN04 0001 2345 6789 03/07/2024 Airport Cab 40.11 -887.05
"IN04 0001 2345 6789 04/07/2024 IMPS Transfer 39,709.14 38,822.09"
"IN04 0001 2345 6789 04/07/2024 Term Plan 4,479.97 34,342.12"
"IN04 0001 2345 6789 06/07/2024 Car Insurance 11,748.24 22,593.88"
"IN04 0001 2345 6789 06/07/2024 Bus Pass 2,415.70 20,178.18"
"IN04 0001 2345 6789 06/07/2024 Uber Ride 1,881.63 18,296.55"
"IN04 0001 2345 6789 07/07/2024 ATM Withdrawal 1,047.63 17,248.92"
"IN04 0001 2345 6789 08/07/2024 Loan Repayment 1,967.57 15,281.35"
"IN04 0001 2345 6789 08/07/2024 Spotify Premium 225.28 15,056.07"
"IN04 0001 2345 6789 09/07/2024 Prime Video 345.07 14,711.00"
"IN04 0001 2345 6789 09/07/2024 DTH Recharge 4,394.66 10,316.34"
"IN04 0001 2345 6789 10/07/2024 Dividend Credit 73,511.52 83,827.86"
"IN04 0001 2345 6789 10/07/2024 Life Insurance 4,226.07 79,601.79"
"IN04 0001 2345 6789 11/07/2024 Loan Repayment 22,650.22 56,951.57"
"IN04 0001 2345 6789 11/07/2024 Netflix Subscription 755.13 56,196.44"
"IN04 0001 2345 6789 11/07/2024 Flipkart Order 11,361.44 44,835.00"
"IN04 0001 2345 6789 12/07/2024 Term Plan 14,525.41 30,309.59"
"IN04 0001 2345 6789 13/07/2024 Mall Shopping 406.00 29,903.59"
"IN04 0001 2345 6789 13/07/2024 Salary Credit 39,108.95 69,012.54"
"IN04 0001 2345 6789 14/07/2024 UPI Received 32,932.21 36,080.33"
"IN04 0001 2345 6789 14/07/2024 Flipkart Order 7,177.86 28,902.47"
"IN04 0001 2345 6789 15/07/2024 Refund - Flipkart 3,255.88 32,158.35"
"IN04 0001 2345 6789 15/07/2024 Cash Deposit 18,233.06 13,925.29"
"IN04 0001 2345 6789 16/07/2024 Cash Deposit 2,775.18 11,150.11"
"IN04 0001 2345 6789 16/07/2024 Swiggy Order 816.56 10,333.55"
"IN04 0001 2345 6789 17/07/2024 Amazon Purchase 3,675.04 6,658.51"
"IN04 0001 2345 6789 17/07/2024 Freelance Payment 34,148.44 40,806.95"
"IN04 0001 2345 6789 17/07/2024 Hotstar 686.20 40,120.75"
"IN04 0001 2345 6789 18/07/2024 GST Refund 3,291.86 43,412.61"
"IN04 0001 2345 6789 19/07/2024 UPI Received 37,574.31 80,986.92"
"IN04 0001 2345 6789 19/07/2024 Broadband Bill 403.39 80,583.53"
"IN04 0001 2345 6789 19/07/2024 Stock Purchase 42,844.78 37,738.75"
"IN04 0001 2345 6789 21/07/2024 Rental Income 9,541.26 47,280.01"
"IN04 0001 2345 6789 21/07/2024 Hospital Bill 19,367.32 27,912.69"
"IN04 0001 2345 6789 22/07/2024 Flipkart Order 9,697.23 18,215.46"
"IN04 0001 2345 6789 22/07/2024 UPI Payment 2,213.02 20,428.48"
"IN04 0001 2345 6789 22/07/2024 DTH Recharge 1,105.51 19,322.97"
"IN04 0001 2345 6789 23/07/2024 NEFT Outward 32,559.51 51,882.48"
"IN04 0001 2345 6789 24/07/2024 Credit Card Payment 1,082.23 50,800.25"
"IN04 0001 2345 6789 25/07/2024 DTH Recharge 1,328.21 49,472.04"
"IN04 0001 2345 6789 26/07/2024 Amazon Purchase 2,150.69 47,321.35"
"IN04 0001 2345 6789 27/07/2024 EMI Debit 18,076.73 29,244.62"
"IN04 0001 2345 6789 27/07/2024 Zomato Order 722.19 28,522.43"
"IN04 0001 2345 6789 28/07/2024 Broadband Bill 836.05 27,686.38"
"IN04 0001 2345 6789 30/07/2024 FD Opening 1,415.04 26,271.34"
"IN04 0001 2345 6789 30/07/2024 Freelance Payment 75,906.17 102,177.51"
"IN04 0001 2345 6789 30/07/2024 Cafe Coffee Day 809.95 101,367.56"
"IN04 0001 2345 6789 02/08/2024 Term Plan 6,680.97 94,686.59"
"IN04 0001 2345 6789 02/08/2024 Mall Shopping 10,743.54 83,943.05"
"IN04 0001 2345 6789 02/08/2024 Mutual Fund SIP 45,013.70 38,929.35"
"IN04 0001 2345 6789 03/08/2024 NEFT Outward 2,814.15 41,743.50"
"IN04 0001 2345 6789 03/08/2024 Cash Deposit 7,927.64 33,815.86"
"IN04 0001 2345 6789 04/08/2024 PPF Contribution 1,719.64 32,096.22"
"IN04 0001 2345 6789 04/08/2024 Mobile Recharge 1,293.76 30,802.46"
"IN04 0001 2345 6789 05/08/2024 Airport Cab 1,628.75 29,173.71"
"IN04 0001 2345 6789 06/08/2024 Airport Cab 21,969.49 7,204.22"
"IN04 0001 2345 6789 06/08/2024 Prime Video 536.85 6,667.37"
"IN04 0001 2345 6789 06/08/2024 Lab Test 473.86 6,193.51"
